map,category,test_type,qn_category,gift_filename
,,,securitysys,155_security_systems.txt
,,,entertainment,156_entertainment_systems.txt
,,,satellitesys,157_satellite_systems.txt
,,,hybridsystems,027_hybrid_drive.txt
,HVAC,Topic Group Test,hvacbasicprinc,09_hvacbasicprinc.txt
,,,fixedorifice,09_fixedorificeaircon.txt
,,,thermalexpansion,09_thermalaircon.txt
,,,airconcomp,09_airconcomp.txt
,,,climatecontrol,09_climatecontrol.txt
,,,hvacproc,09_hvacproc.txt
,,Find-The-Missing Word,hvacbasicprinc,148_hvac_basic_principles.txt
,,,fixedorifice,149_fixed_orifice.txt
,,,thermalexpansion,150_thermal_expansion.txt
,,,airconcomp,151_air-con_components.txt
,,,climatecontrol,152_climate_control.txt
,,,hvacproc,153_hvac_procedures.txt
,Vehicle Bodywork,Topic Group Test,chassis,11_chassis.txt
,,,bodydesigns,01_bodydesigns.txt
,,,safetysys,10_safetysystems.txt
,,Find-The-Missing Word,chassis,165_ss_chassis.txt
,,,bodydesigns,005_body_designs.txt
,,,safetysys,154_safety_systems.txt
