menu,cdx_menu_name,map,shortname,category,test_type,test_type_abbr,quiz,qn_category
,,,,,,,Ignition systems,ignitionsys
,,,,,,,Contact breaker ignition,contactbreakig
,,,,,,,Contact breaker components,contactbreakcomp
,,,,,,,Electronic systems & components,electronicsyscomp
,,,,,,,Distributorless systems ,distribsys
,,,,,,,Ignition procedures,ignitionproc
,,,,,,,Intake & exhaust systems,intakeexhaustsys
,,,,,,,Intake system components,intakesyscomp
,,,,,,,Exhaust system components ,exhaustsyscomp
,,,,,,,Intake system procedure,intakesysproc
,,,,,Practice Exam,PE,Red Seal Engine Systems,RsenginesysPE
,,,,,Final Exam,FE,Red Seal Engine Systems,RsenginesysFE
,,,VehManSys,Vehicle Management Systems,Topic Group Test,TGT,Creation of emissions,creationemissions
,,,,,,,Types of emissions,typesemissions
,,,,,,,Emission control,emissioncontrol
,,,,,,,EFI operation,efioperation
,,,,,,,Electronic control unit - ECU,ecu
,,,,,,,EFI sensors,efisensors
,,,,,,,On-board diagnostics,obd
,,,,,Find-The-Missing Word,FTMW,Creation of emissions,creationemissions
,,,,,,,Types of emissions,typesemissions
,,,,,,,Emission control,emissioncontrol
,,,,,,,EFI operation,efioperation
,,,,,,,Electronic control unit - ECU,ecu
,,,,,,,EFI sensors,efisensors
,,,,,,,On-board diagnostics,obd
,,,,,,,Emissions procedures,emissionsproc
,,,,,Practice Exam,PE,Red Seal Vehicle Management Systems,RsvehmansysPE
,,,,,Final Exam,FE,Red Seal Vehicle Management Systems,RsvehmansysFE
,,,DriveLine,Drive Line Systems,Topic Group Test,TGT,Basic layouts,basiclayouts
,,,,,,,Front-wheel drive,frontwheeldrive
,,,,,,,Rear-wheel drive,rearwheeldrive
,,,,,,,Four-wheel drive (part-time),fourwheeldrive
,,,,,,,All-wheel drive,allwheeldrive
,,,,,,,Manual transmissions,manualtrans
,,,,,,,Gearbox layout & operation ,gearboxlayoutop
,,,,,,,Torque converters,torqueconverters
,,,,,,,Planetary gearing,planetarygearing
,,,,,,,Electronic control transmission,eleccontroltrans
,,,,,,,Layout & operation,layoutop
,,,,,,,Servos and clutches,servosclutches
,,,,,,,Hydraulic system & controls,hydraulicsyscontrols
,,,,,,,Valve types & functions,valvetypes
,,,,,,,Pressure regulation,pressureregulation
,,,,,,,Flow control,flowcontrol
,,,,,,,Continuously variable transmission (C.V.T.),cvt
,,,,,,,Clutches,clutches
,,,,,,,Clutch components,clutchescomp
,,,,,Find-The-Missing Word,FTMW,Basic layouts,basiclayouts
,,,,,,,Front-wheel drive,frontwheeldrive
,,,,,,,Rear-wheel drive,rearwheeldrive
,,,,,,,Four-wheel drive (part-time),fourwheeldrive
,,,,,,,All-wheel drive,allwheeldrive
,,,,,,,Final drives procedures,finaldriveproc
,,,,,,,Manual transmissions,manualtrans
,,,,,,,Gearbox layout & operation ,gearboxlayoutop
